ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826099.639975718	2593	13387	6035	104633
1776826100.663106794	2593	13387	6085	104583
1776826103.666794374	2852	13128	6253	104415
1776826104.693636651	3866	12114	7350	103318
1776826105.718979700	4990	10990	7581	103087
1776826106.744099056	5024	10956	7593	103075
1776826107.787106840	5074	10906	7748	102921
1776826108.814844391	5074	10906	7746	102922
1776826109.844849276	5080	10900	7773	102895
1776826110.873974699	5082	10898	7769	102899
1776826111.903731608	5082	10898	7764	102904
1776826112.931006561	5082	10898	7759	102909
1776826113.963443638	5082	10898	7777	102891
1776826114.993132210	5082	10898	7764	102904
1776826116.021001531	5084	10896	7765	102903
1776826117.049633244	5084	10896	7762	102906
1776826118.081761543	5092	10888	7763	102905
1776826119.114132939	5098	10882	7771	102897
1776826120.141551647	5098	10882	7838	102830
1776826121.173970842	5098	10882	7898	102770
1776826122.218174514	5098	10882	7898	102770
1776826123.258993903	5098	10882	7894	102774
1776826124.302967316	5098	10882	7905	102763
1776826125.344635970	5098	10882	7898	102770
1776826126.387650148	5098	10882	7899	102769
1776826127.435334542	5098	10882	7897	102771
1776826128.482874632	5098	10882	7905	102763
1776826129.526907944	5098	10882	7917	102751
1776826130.570387114	5098	10882	7914	102754
1776826131.613321710	5098	10882	7914	102754
1776826132.659221404	5098	10882	7911	102757
1776826133.699851522	5098	10882	7906	102762
1776826134.740840466	5098	10882	7917	102751
1776826137.416973599	5098	10882	7918	102750
1776826138.461357921	5098	10882	7916	102752
1776826139.496162836	5098	10882	7909	102759
1776826140.540311128	5098	10882	7909	102759
1776826141.586302179	5098	10882	7918	102750
1776826142.627959116	5098	10882	7916	102752
1776826143.674666344	5098	10882	7913	102755
1776826144.715559764	5098	10882	7910	102758
1776826145.760011246	5098	10882	7907	102761
1776826146.807709833	5098	10882	7921	102747
1776826147.850380729	5098	10882	7919	102749
1776826148.897575365	5098	10882	7916	102752
1776826149.941372601	5098	10882	7916	102752
1776826150.989980044	5098	10882	7901	102767
1776826152.033656878	5098	10882	7910	102758
1776826153.082975531	5098	10882	7901	102767
1776826154.130341572	5098	10882	7897	102771
1776826155.177116664	5098	10882	7898	102770
1776826156.223618405	5098	10882	7909	102759
1776826157.263724279	5098	10882	7901	102767
1776826158.310086027	5098	10882	7901	102767
1776826159.353337170	5098	10882	7901	102767
1776826160.399616277	5098	10882	7901	102767
1776826161.440239080	5098	10882	7914	102754
1776826162.480380688	5098	10882	7914	102754
1776826163.521292417	5098	10882	7914	102754
1776826164.566899283	5098	10882	7914	102754
1776826165.614323386	5098	10882	7908	102760
1776826166.650126247	5098	10882	7913	102755
1776826167.693757400	5098	10882	7910	102758
1776826168.737082558	5098	10882	7904	102764
1776826171.510040378	5098	10882	7904	102764
1776826172.555048840	5098	10882	7904	102765
1776826173.598570025	5098	10882	7899	102769
1776826174.637208936	5098	10882	7896	102772
1776826175.675711981	5098	10882	7892	102776
1776826176.719796515	5098	10882	7893	102776
