ts_unix	vram_used_mib	vram_free_mib	ram_used_mib	ram_avail_mib
1776826405.776930230	2593	13387	6029	104639
1776826406.800391088	2593	13387	6082	104586
1776826409.664955696	2852	13128	6263	104405
1776826410.733242072	15635	345	6315	104354
1776826411.776338383	15697	283	6306	104362
1776826412.843524386	15907	73	6919	103749
1776826413.903335681	15913	67	6964	103704
1776826414.927319420	15917	63	7011	103657
1776826415.969411779	15935	45	7122	103546
1776826416.998736962	15935	45	7122	103546
1776826418.025666139	15935	45	7114	103554
1776826419.055252331	15941	39	7137	103531
1776826420.081897257	15941	39	7136	103532
1776826421.108027256	15941	39	7135	103533
1776826422.136105869	15941	39	7134	103534
1776826423.163972783	15941	39	7130	103538
1776826424.190910431	15941	39	7144	103524
1776826425.217599587	15941	39	7143	103525
1776826426.246750926	15941	39	7133	103535
1776826427.275344540	15941	39	7129	103539
1776826428.301428147	15941	39	7133	103535
1776826429.331396327	15941	39	7143	103525
1776826430.357752572	15941	39	7140	103529
1776826431.386780594	15941	39	7137	103531
1776826432.413824670	15941	39	7137	103531
1776826433.440962917	15941	39	7131	103537
1776826434.471506686	15941	39	7136	103532
1776826435.532926619	15941	39	7133	103535
1776826436.598905462	15941	39	7130	103538
1776826437.624695767	15941	39	7186	103482
1776826438.660078578	15941	39	7179	103489
1776826439.689014666	15941	39	7189	103479
1776826440.714182844	15872	108	7250	103418
1776826443.439471132	15872	108	7247	103421
1776826444.476310882	15872	108	7248	103420
1776826445.514949482	15872	108	7247	103421
1776826446.545475556	15872	108	7256	103412
1776826447.575381898	15872	108	7267	103401
1776826448.603535897	15872	108	7264	103405
1776826449.630427218	15872	108	7256	103413
1776826450.655651433	15872	108	7256	103412
1776826451.682803001	15872	108	7256	103412
1776826452.705293492	15872	108	7251	103417
1776826453.738050682	15872	108	7255	103413
1776826454.777727578	15872	108	7252	103416
1776826455.804259540	15872	108	7253	103415
1776826456.829778679	15872	108	7268	103401
1776826457.856612427	15872	108	7266	103402
1776826458.881703197	15872	108	7263	103405
1776826459.907774587	15872	108	7261	103407
1776826460.947733827	15872	108	7254	103414
1776826461.985433018	15872	108	7266	103402
1776826463.024484666	15872	108	7261	103407
1776826464.058837404	15872	108	7254	103414
1776826465.092188146	15872	108	7256	103412
1776826466.130813955	15872	108	7253	103415
1776826467.164816638	15872	108	7263	103405
1776826468.200254041	15872	108	7258	103410
1776826469.226484131	15872	108	7261	103407
1776826470.254052248	15940	40	7259	103409
1776826471.290440257	15940	40	7267	103401
1776826472.324039551	15940	40	7268	103400
1776826473.368672467	15940	40	7267	103402
1776826474.401601958	15940	40	7264	103404
1776826477.214300785	15940	40	7264	103404
1776826478.244641055	15940	40	7253	103415
1776826479.275689309	15940	40	7261	103407
1776826480.310442536	15940	40	7260	103408
1776826481.352351766	15940	40	7261	103407
1776826482.378367049	15940	40	7259	103409
1776826483.404625871	15940	40	7275	103393
1776826484.432544338	15940	40	7275	103394
1776826485.469664513	15940	40	7274	103394
1776826486.509433520	15940	40	7270	103398
1776826487.537797719	15940	40	7268	103400
1776826488.572918101	15940	40	7282	103386
1776826489.601429380	15940	40	7275	103393
1776826490.626861278	15940	40	7265	103403
1776826491.654169512	15940	40	7260	103408
1776826492.686576220	15940	40	7364	103304
1776826493.728961248	15940	40	7539	103129
1776826494.764541609	15940	40	7252	103416
1776826495.789985923	15940	40	7254	103414
1776826496.817175525	15940	40	7254	103414
